,Survived,Name
121,0,"Moore, Mr. Leonard Charles"
122,0,"Nasser, Mr. Nicholas"
123,1,"Webber, Miss. Susan"
124,0,"White, Mr. Percival Wayland"
125,1,"Nicola-Yarred, Master. Elias"
126,0,"McMahon, Mr. Martin"
127,1,"Madsen, Mr. Fridtjof Arne"
128,1,"Peter, Miss. Anna"
129,0,"Ekstrom, Mr. Johan"
130,0,"Drazenoic, Mr. Jozef"
131,0,"Coelho, Mr. Domingos Fernandeo"
132,0,"Robins, Mrs. Alexander A (Grace Charity Laury)"
133,1,"Weisz, Mrs. Leopold (Mathilde Francoise Pede)"
134,0,"Sobey, Mr. Samuel James Hayden"
135,0,"Richard, Mr. Emile"
136,1,"Newsom, Miss. Helen Monypeny"
137,0,"Futrelle, Mr. Jacques Heath"
138,0,"Osen, Mr. Olaf Elon"
139,0,"Giglio, Mr. Victor"
140,0,"Boulos, Mrs. Joseph (Sultana)"
141,1,"Nysten, Miss. Anna Sofia"
142,1,"Hakkarainen, Mrs. Pekka Pietari (Elin Matilda Dolck)"
143,0,"Burke, Mr. Jeremiah"
144,0,"Andrew, Mr. Edgardo Samuel"
145,0,"Nicholls, Mr. Joseph Charles"
146,1,"Andersson, Mr. August Edvard (""Wennerstrom"")"
147,0,"Ford, Miss. Robina Maggie ""Ruby"""
148,0,"Navratil, Mr. Michel (""Louis M Hoffman"")"
149,0,"Byles, Rev. Thomas Roussel Davids"
150,0,"Bateman, Rev. Robert James"
151,1,"Pears, Mrs. Thomas (Edith Wearne)"
152,0,"Meo, Mr. Alfonzo"
153,0,"van Billiard, Mr. Austin Blyler"
154,0,"Olsen, Mr. Ole Martin"
155,0,"Williams, Mr. Charles Duane"
156,1,"Gilnagh, Miss. Katherine ""Katie"""
157,0,"Corn, Mr. Harry"
158,0,"Smiljanic, Mr. Mile"
159,0,"Sage, Master. Thomas Henry"
160,0,"Cribb, Mr. John Hatfield"
161,1,"Watt, Mrs. James (Elizabeth ""Bessie"" Inglis Milne)"
162,0,"Bengtsson, Mr. John Viktor"
163,0,"Calic, Mr. Jovo"
164,0,"Panula, Master. Eino Viljami"
165,1,"Goldsmith, Master. Frank John William ""Frankie"""
166,1,"Chibnall, Mrs. (Edith Martha Bowerman)"
167,0,"Skoog, Mrs. William (Anna Bernhardina Karlsson)"
168,0,"Baumann, Mr. John D"
169,0,"Ling, Mr. Lee"
170,0,"Van der hoef, Mr. Wyckoff"
171,0,"Rice, Master. Arthur"
172,1,"Johnson, Miss. Eleanor Ileen"
173,0,"Sivola, Mr. Antti Wilhelm"
174,0,"Smith, Mr. James Clinch"
175,0,"Klasen, Mr. Klas Albin"
176,0,"Lefebre, Master. Henry Forbes"
177,0,"Isham, Miss. Ann Elizabeth"
178,0,"Hale, Mr. Reginald"
179,0,"Leonard, Mr. Lionel"
180,0,"Sage, Miss. Constance Gladys"
181,0,"Pernot, Mr. Rene"
182,0,"Asplund, Master. Clarence Gustaf Hugo"
183,1,"Becker, Master. Richard F"
184,1,"Kink-Heilmann, Miss. Luise Gretchen"
185,0,"Rood, Mr. Hugh Roscoe"
186,1,"O'Brien, Mrs. Thomas (Johanna ""Hannah"" Godfrey)"
187,1,"Romaine, Mr. Charles Hallace (""Mr C Rolmane"")"
188,0,"Bourke, Mr. John"
189,0,"Turcin, Mr. Stjepan"
190,1,"Pinsky, Mrs. (Rosa)"
191,0,"Carbines, Mr. William"
192,1,"Andersen-Jensen, Miss. Carla Christine Nielsine"
193,1,"Navratil, Master. Michel M"
194,1,"Brown, Mrs. James Joseph (Margaret Tobin)"
195,1,"Lurette, Miss. Elise"
196,0,"Mernagh, Mr. Robert"
197,0,"Olsen, Mr. Karl Siegwart Andreas"
198,1,"Madigan, Miss. Margaret ""Maggie"""
199,0,"Yrois, Miss. Henriette (""Mrs Harbeck"")"
200,0,"Vande Walle, Mr. Nestor Cyriel"
201,0,"Sage, Mr. Frederick"
202,0,"Johanson, Mr. Jakob Alfred"
203,0,"Youseff, Mr. Gerious"
204,1,"Cohen, Mr. Gurshon ""Gus"""
205,0,"Strom, Miss. Telma Matilda"
206,0,"Backstrom, Mr. Karl Alfred"
207,1,"Albimona, Mr. Nassef Cassem"
208,1,"Carr, Miss. Helen ""Ellen"""
209,1,"Blank, Mr. Henry"
210,0,"Ali, Mr. Ahmed"
211,1,"Cameron, Miss. Clear Annie"
212,0,"Perkin, Mr. John Henry"
213,0,"Givard, Mr. Hans Kristensen"
214,0,"Kiernan, Mr. Philip"
215,1,"Newell, Miss. Madeleine"
216,1,"Honkanen, Miss. Eliina"
217,0,"Jacobsohn, Mr. Sidney Samuel"
218,1,"Bazzani, Miss. Albina"
219,0,"Harris, Mr. Walter"
220,1,"Sunderland, Mr. Victor Francis"
221,0,"Bracken, Mr. James H"
222,0,"Green, Mr. George Henry"
223,0,"Nenkoff, Mr. Christo"
224,1,"Hoyt, Mr. Frederick Maxfield"
225,0,"Berglund, Mr. Karl Ivar Sven"
226,1,"Mellors, Mr. William John"
227,0,"Lovell, Mr. John Hall (""Henry"")"
228,0,"Fahlstrom, Mr. Arne Jonas"
229,0,"Lefebre, Miss. Mathilde"
230,1,"Harris, Mrs. Henry Birkhardt (Irene Wallach)"
231,0,"Larsson, Mr. Bengt Edvin"
232,0,"Sjostedt, Mr. Ernst Adolf"
233,1,"Asplund, Miss. Lillian Gertrud"
234,0,"Leyson, Mr. Robert William Norman"
235,0,"Harknett, Miss. Alice Phoebe"
236,0,"Hold, Mr. Stephen"
237,1,"Collyer, Miss. Marjorie ""Lottie"""
238,0,"Pengelly, Mr. Frederick William"
239,0,"Hunt, Mr. George Henry"
240,0,"Zabour, Miss. Thamine"
241,1,"Murphy, Miss. Katherine ""Kate"""
242,0,"Coleridge, Mr. Reginald Charles"
243,0,"Maenpaa, Mr. Matti Alexanteri"
244,0,"Attalah, Mr. Sleiman"
245,0,"Minahan, Dr. William Edward"
246,0,"Lindahl, Miss. Agda Thorilda Viktoria"
247,1,"Hamalainen, Mrs. William (Anna)"
248,1,"Beckwith, Mr. Richard Leonard"
249,0,"Carter, Rev. Ernest Courtenay"
250,0,"Reed, Mr. James George"
251,0,"Strom, Mrs. Wilhelm (Elna Matilda Persson)"
252,0,"Stead, Mr. William Thomas"
253,0,"Lobb, Mr. William Arthur"
254,0,"Rosblom, Mrs. Viktor (Helena Wilhelmina)"
255,1,"Touma, Mrs. Darwis (Hanne Youssef Razi)"
256,1,"Thorne, Mrs. Gertrude Maybelle"
257,1,"Cherry, Miss. Gladys"
258,1,"Ward, Miss. Anna"
259,1,"Parrish, Mrs. (Lutie Davis)"
260,0,"Smith, Mr. Thomas"
261,1,"Asplund, Master. Edvin Rojj Felix"
262,0,"Taussig, Mr. Emil"
263,0,"Harrison, Mr. William"
264,0,"Henry, Miss. Delia"
265,0,"Reeves, Mr. David"
266,0,"Panula, Mr. Ernesti Arvid"
267,1,"Persson, Mr. Ernst Ulrik"
268,1,"Graham, Mrs. William Thompson (Edith Junkins)"
269,1,"Bissette, Miss. Amelia"
270,0,"Cairns, Mr. Alexander"
271,1,"Tornquist, Mr. William Henry"
272,1,"Mellinger, Mrs. (Elizabeth Anne Maidment)"
273,0,"Natsch, Mr. Charles H"
274,1,"Healy, Miss. Hanora ""Nora"""
275,1,"Andrews, Miss. Kornelia Theodosia"
276,0,"Lindblom, Miss. Augusta Charlotta"
277,0,"Parkes, Mr. Francis ""Frank"""
278,0,"Rice, Master. Eric"
279,1,"Abbott, Mrs. Stanton (Rosa Hunt)"
280,0,"Duane, Mr. Frank"
281,0,"Olsson, Mr. Nils Johan Goransson"
282,0,"de Pelsmaeker, Mr. Alfons"
283,1,"Dorking, Mr. Edward Arthur"
284,0,"Smith, Mr. Richard William"
285,0,"Stankovic, Mr. Ivan"
286,1,"de Mulder, Mr. Theodore"
287,0,"Naidenoff, Mr. Penko"
288,1,"Hosono, Mr. Masabumi"
289,1,"Connolly, Miss. Kate"
290,1,"Barber, Miss. Ellen ""Nellie"""
291,1,"Bishop, Mrs. Dickinson H (Helen Walton)"
292,0,"Levy, Mr. Rene Jacques"
293,0,"Haas, Miss. Aloisia"
294,0,"Mineff, Mr. Ivan"
295,0,"Lewy, Mr. Ervin G"
296,0,"Hanna, Mr. Mansour"
297,0,"Allison, Miss. Helen Loraine"
298,1,"Saalfeld, Mr. Adolphe"
299,1,"Baxter, Mrs. James (Helene DeLaudeniere Chaput)"
300,1,"Kelly, Miss. Anna Katherine ""Annie Kate"""
301,1,"McCoy, Mr. Bernard"
302,0,"Johnson, Mr. William Cahoone Jr"
303,1,"Keane, Miss. Nora A"
304,0,"Williams, Mr. Howard Hugh ""Harry"""
305,1,"Allison, Master. Hudson Trevor"
306,1,"Fleming, Miss. Margaret"
307,1,"Penasco y Castellana, Mrs. Victor de Satode (Maria Josefa Perez de Soto y Vallejo)"
308,0,"Abelson, Mr. Samuel"
309,1,"Francatelli, Miss. Laura Mabel"
310,1,"Hays, Miss. Margaret Bechstein"
311,1,"Ryerson, Miss. Emily Borie"
312,0,"Lahtinen, Mrs. William (Anna Sylfven)"
313,0,"Hendekovic, Mr. Ignjac"
314,0,"Hart, Mr. Benjamin"
315,1,"Nilsson, Miss. Helmina Josefina"
316,1,"Kantor, Mrs. Sinai (Miriam Sternin)"
317,0,"Moraweck, Dr. Ernest"
318,1,"Wick, Miss. Mary Natalie"
319,1,"Spedden, Mrs. Frederic Oakley (Margaretta Corning Stone)"
320,0,"Dennis, Mr. Samuel"
321,0,"Danoff, Mr. Yoto"
322,1,"Slayter, Miss. Hilda Mary"
323,1,"Caldwell, Mrs. Albert Francis (Sylvia Mae Harbaugh)"
324,0,"Sage, Mr. George John Jr"
325,1,"Young, Miss. Marie Grice"
326,0,"Nysveen, Mr. Johan Hansen"
327,1,"Ball, Mrs. (Ada E Hall)"
328,1,"Goldsmith, Mrs. Frank John (Emily Alice Brown)"
329,1,"Hippach, Miss. Jean Gertrude"
330,1,"McCoy, Miss. Agnes"
331,0,"Partner, Mr. Austen"
332,0,"Graham, Mr. George Edward"
333,0,"Vander Planke, Mr. Leo Edmondus"
334,1,"Frauenthal, Mrs. Henry William (Clara Heinsheimer)"
335,0,"Denkoff, Mr. Mitto"
336,0,"Pears, Mr. Thomas Clinton"
337,1,"Burns, Miss. Elizabeth Margaret"
338,1,"Dahl, Mr. Karl Edwart"
339,0,"Blackwell, Mr. Stephen Weart"
340,1,"Navratil, Master. Edmond Roger"
341,1,"Fortune, Miss. Alice Elizabeth"
342,0,"Collander, Mr. Erik Gustaf"
343,0,"Sedgwick, Mr. Charles Frederick Waddington"
344,0,"Fox, Mr. Stanley Hubert"
345,1,"Brown, Miss. Amelia ""Mildred"""
346,1,"Smith, Miss. Marion Elsie"
347,1,"Davison, Mrs. Thomas Henry (Mary E Finck)"
348,1,"Coutts, Master. William Loch ""William"""
349,0,"Dimic, Mr. Jovan"
350,0,"Odahl, Mr. Nils Martin"
351,0,"Williams-Lambert, Mr. Fletcher Fellows"
352,0,"Elias, Mr. Tannous"
353,0,"Arnold-Franchi, Mr. Josef"
354,0,"Yousif, Mr. Wazli"
355,0,"Vanden Steen, Mr. Leo Peter"
356,1,"Bowerman, Miss. Elsie Edith"
357,0,"Funk, Miss. Annie Clemmer"
358,1,"McGovern, Miss. Mary"
359,1,"Mockler, Miss. Helen Mary ""Ellie"""
360,0,"Skoog, Mr. Wilhelm"
361,0,"del Carlo, Mr. Sebastiano"
362,0,"Barbara, Mrs. (Catherine David)"
363,0,"Asim, Mr. Adola"
364,0,"O'Brien, Mr. Thomas"
365,0,"Adahl, Mr. Mauritz Nils Martin"
366,1,"Warren, Mrs. Frank Manley (Anna Sophia Atkinson)"
367,1,"Moussa, Mrs. (Mantoura Boulos)"
368,1,"Jermyn, Miss. Annie"
369,1,"Aubart, Mme. Leontine Pauline"
370,1,"Harder, Mr. George Achilles"
371,0,"Wiklund, Mr. Jakob Alfred"
372,0,"Beavan, Mr. William Thomas"
373,0,"Ringhini, Mr. Sante"
374,0,"Palsson, Miss. Stina Viola"
375,1,"Meyer, Mrs. Edgar Joseph (Leila Saks)"
376,1,"Landergren, Miss. Aurora Adelia"
377,0,"Widener, Mr. Harry Elkins"
378,0,"Betros, Mr. Tannous"
379,0,"Gustafsson, Mr. Karl Gideon"
380,1,"Bidois, Miss. Rosalie"
381,1,"Nakid, Miss. Maria (""Mary"")"
382,0,"Tikkanen, Mr. Juho"
383,1,"Holverson, Mrs. Alexander Oskar (Mary Aline Towner)"
384,0,"Plotcharsky, Mr. Vasil"
385,0,"Davies, Mr. Charles Henry"
386,0,"Goodwin, Master. Sidney Leonard"
387,1,"Buss, Miss. Kate"
388,0,"Sadlier, Mr. Matthew"
389,1,"Lehmann, Miss. Bertha"
390,1,"Carter, Mr. William Ernest"
391,1,"Jansson, Mr. Carl Olof"
392,0,"Gustafsson, Mr. Johan Birger"
393,1,"Newell, Miss. Marjorie"
394,1,"Sandstrom, Mrs. Hjalmar (Agnes Charlotta Bengtsson)"
395,0,"Johansson, Mr. Erik"
396,0,"Olsson, Miss. Elina"
397,0,"McKane, Mr. Peter David"
398,0,"Pain, Dr. Alfred"
399,1,"Trout, Mrs. William H (Jessie L)"
400,1,"Niskanen, Mr. Juha"
401,0,"Adams, Mr. John"
402,0,"Jussila, Miss. Mari Aina"
403,0,"Hakkarainen, Mr. Pekka Pietari"
404,0,"Oreskovic, Miss. Marija"
405,0,"Gale, Mr. Shadrach"
406,0,"Widegren, Mr. Carl/Charles Peter"
407,1,"Richards, Master. William Rowe"
408,0,"Birkeland, Mr. Hans Martin Monsen"
409,0,"Lefebre, Miss. Ida"
410,0,"Sdycoff, Mr. Todor"
411,0,"Hart, Mr. Henry"
412,1,"Minahan, Miss. Daisy E"
413,0,"Cunningham, Mr. Alfred Fleming"
414,1,"Sundman, Mr. Johan Julian"
415,0,"Meek, Mrs. Thomas (Annie Louise Rowley)"
416,1,"Drew, Mrs. James Vivian (Lulu Thorne Christian)"
417,1,"Silven, Miss. Lyyli Karoliina"
418,0,"Matthews, Mr. William John"
419,0,"Van Impe, Miss. Catharina"
420,0,"Gheorgheff, Mr. Stanio"
421,0,"Charters, Mr. David"
422,0,"Zimmerman, Mr. Leo"
423,0,"Danbom, Mrs. Ernst Gilbert (Anna Sigrid Maria Brogren)"
424,0,"Rosblom, Mr. Viktor Richard"
425,0,"Wiseman, Mr. Phillippe"
426,1,"Clarke, Mrs. Charles V (Ada Maria Winfield)"
427,1,"Phillips, Miss. Kate Florence (""Mrs Kate Louise Phillips Marshall"")"
428,0,"Flynn, Mr. James"
429,1,"Pickard, Mr. Berk (Berk Trembisky)"
430,1,"Bjornstrom-Steffansson, Mr. Mauritz Hakan"
431,1,"Thorneycroft, Mrs. Percival (Florence Kate White)"
432,1,"Louch, Mrs. Charles Alexander (Alice Adelaide Slow)"
433,0,"Kallio, Mr. Nikolai Erland"
434,0,"Silvey, Mr. William Baird"
435,1,"Carter, Miss. Lucile Polk"
436,0,"Ford, Miss. Doolina Margaret ""Daisy"""
437,1,"Richards, Mrs. Sidney (Emily Hocking)"
438,0,"Fortune, Mr. Mark"
439,0,"Kvillner, Mr. Johan Henrik Johannesson"
440,1,"Hart, Mrs. Benjamin (Esther Ada Bloomfield)"
441,0,"Hampe, Mr. Leon"
442,0,"Petterson, Mr. Johan Emil"
443,1,"Reynaldo, Ms. Encarnacion"
444,1,"Johannesen-Bratthammer, Mr. Bernt"
445,1,"Dodge, Master. Washington"
446,1,"Mellinger, Miss. Madeleine Violet"
447,1,"Seward, Mr. Frederic Kimber"
448,1,"Baclini, Miss. Marie Catherine"
449,1,"Peuchen, Major. Arthur Godfrey"
450,0,"West, Mr. Edwy Arthur"
451,0,"Hagland, Mr. Ingvald Olai Olsen"
452,0,"Foreman, Mr. Benjamin Laventall"
453,1,"Goldenberg, Mr. Samuel L"
454,0,"Peduzzi, Mr. Joseph"
455,1,"Jalsevac, Mr. Ivan"
456,0,"Millet, Mr. Francis Davis"
457,1,"Kenyon, Mrs. Frederick R (Marion)"
458,1,"Toomey, Miss. Ellen"
459,0,"O'Connor, Mr. Maurice"
460,1,"Anderson, Mr. Harry"
461,0,"Morley, Mr. William"
462,0,"Gee, Mr. Arthur H"
463,0,"Milling, Mr. Jacob Christian"
464,0,"Maisner, Mr. Simon"
465,0,"Goncalves, Mr. Manuel Estanslas"
466,0,"Campbell, Mr. William"
467,0,"Smart, Mr. John Montgomery"
468,0,"Scanlan, Mr. James"
469,1,"Baclini, Miss. Helene Barbara"
470,0,"Keefe, Mr. Arthur"
471,0,"Cacic, Mr. Luka"
472,1,"West, Mrs. Edwy Arthur (Ada Mary Worth)"
473,1,"Jerwan, Mrs. Amin S (Marie Marthe Thuillard)"
474,0,"Strandberg, Miss. Ida Sofia"
475,0,"Clifford, Mr. George Quincy"
476,0,"Renouf, Mr. Peter Henry"
477,0,"Braund, Mr. Lewis Richard"
478,0,"Karlsson, Mr. Nils August"
479,1,"Hirvonen, Miss. Hildur E"
480,0,"Goodwin, Master. Harold Victor"
481,0,"Frost, Mr. Anthony Wood ""Archie"""
482,0,"Rouse, Mr. Richard Henry"
483,1,"Turkula, Mrs. (Hedwig)"
484,1,"Bishop, Mr. Dickinson H"
485,0,"Lefebre, Miss. Jeannie"
486,1,"Hoyt, Mrs. Frederick Maxfield (Jane Anne Forby)"
487,0,"Kent, Mr. Edward Austin"
488,0,"Somerton, Mr. Francis William"
489,1,"Coutts, Master. Eden Leslie ""Neville"""
490,0,"Hagland, Mr. Konrad Mathias Reiersen"
491,0,"Windelov, Mr. Einar"
492,0,"Molson, Mr. Harry Markland"
493,0,"Artagaveytia, Mr. Ramon"
494,0,"Stanley, Mr. Edward Roland"
495,0,"Yousseff, Mr. Gerious"
496,1,"Eustis, Miss. Elizabeth Mussey"
497,0,"Shellard, Mr. Frederick William"
498,0,"Allison, Mrs. Hudson J C (Bessie Waldo Daniels)"
499,0,"Svensson, Mr. Olof"
500,0,"Calic, Mr. Petar"
501,0,"Canavan, Miss. Mary"
502,0,"O'Sullivan, Miss. Bridget Mary"
503,0,"Laitinen, Miss. Kristina Sofia"
504,1,"Maioni, Miss. Roberta"
505,0,"Penasco y Castellana, Mr. Victor de Satode"
506,1,"Quick, Mrs. Frederick Charles (Jane Richards)"
507,1,"Bradley, Mr. George (""George Arthur Brayton"")"
508,0,"Olsen, Mr. Henry Margido"
509,1,"Lang, Mr. Fang"
510,1,"Daly, Mr. Eugene Patrick"
511,0,"Webber, Mr. James"
512,1,"McGough, Mr. James Robert"
513,1,"Rothschild, Mrs. Martin (Elizabeth L. Barrett)"
514,0,"Coleff, Mr. Satio"
515,0,"Walker, Mr. William Anderson"
516,1,"Lemore, Mrs. (Amelia Milley)"
517,0,"Ryan, Mr. Patrick"
518,1,"Angle, Mrs. William A (Florence ""Mary"" Agnes Hughes)"
519,0,"Pavlovic, Mr. Stefo"
520,1,"Perreault, Miss. Anne"
521,0,"Vovk, Mr. Janko"
522,0,"Lahoud, Mr. Sarkis"
523,1,"Hippach, Mrs. Louis Albert (Ida Sophia Fischer)"
524,0,"Kassem, Mr. Fared"
525,0,"Farrell, Mr. James"
526,1,"Ridsdale, Miss. Lucy"
527,0,"Farthing, Mr. John"
528,0,"Salonen, Mr. Johan Werner"
529,0,"Hocking, Mr. Richard George"
530,1,"Quick, Miss. Phyllis May"
531,0,"Toufik, Mr. Nakli"
532,0,"Elias, Mr. Joseph Jr"
533,1,"Peter, Mrs. Catherine (Catherine Rizk)"
534,0,"Cacic, Miss. Marija"
535,1,"Hart, Miss. Eva Miriam"
536,0,"Butt, Major. Archibald Willingham"
537,1,"LeRoy, Miss. Bertha"
538,0,"Risien, Mr. Samuel Beard"
539,1,"Frolicher, Miss. Hedwig Margaritha"
540,1,"Crosby, Miss. Harriet R"
541,0,"Andersson, Miss. Ingeborg Constanzia"
542,0,"Andersson, Miss. Sigrid Elisabeth"
543,1,"Beane, Mr. Edward"
544,0,"Douglas, Mr. Walter Donald"
545,0,"Nicholson, Mr. Arthur Ernest"
546,1,"Beane, Mrs. Edward (Ethel Clarke)"
547,1,"Padro y Manent, Mr. Julian"
548,0,"Goldsmith, Mr. Frank John"
549,1,"Davies, Master. John Morgan Jr"
550,1,"Thayer, Mr. John Borland Jr"
551,0,"Sharp, Mr. Percival James R"
552,0,"O'Brien, Mr. Timothy"
553,1,"Leeni, Mr. Fahim (""Philip Zenni"")"
554,1,"Ohman, Miss. Velin"
555,0,"Wright, Mr. George"
556,1,"Duff Gordon, Lady. (Lucille Christiana Sutherland) (""Mrs Morgan"")"
557,0,"Robbins, Mr. Victor"
558,1,"Taussig, Mrs. Emil (Tillie Mandelbaum)"
559,1,"de Messemaeker, Mrs. Guillaume Joseph (Emma)"
560,0,"Morrow, Mr. Thomas Rowan"
561,0,"Sivic, Mr. Husein"
562,0,"Norman, Mr. Robert Douglas"
563,0,"Simmons, Mr. John"
564,0,"Meanwell, Miss. (Marion Ogden)"
565,0,"Davies, Mr. Alfred J"
566,0,"Stoytcheff, Mr. Ilia"
567,0,"Palsson, Mrs. Nils (Alma Cornelia Berglund)"
568,0,"Doharr, Mr. Tannous"
569,1,"Jonsson, Mr. Carl"
570,1,"Harris, Mr. George"
571,1,"Appleton, Mrs. Edward Dale (Charlotte Lamson)"
572,1,"Flynn, Mr. John Irwin (""Irving"")"
573,1,"Kelly, Miss. Mary"
574,0,"Rush, Mr. Alfred George John"
575,0,"Patchett, Mr. George"
576,1,"Garside, Miss. Ethel"
577,1,"Silvey, Mrs. William Baird (Alice Munger)"
578,0,"Caram, Mrs. Joseph (Maria Elias)"
579,1,"Jussila, Mr. Eiriik"
580,1,"Christy, Miss. Julie Rachel"
581,1,"Thayer, Mrs. John Borland (Marian Longstreth Morris)"
582,0,"Downton, Mr. William James"
583,0,"Ross, Mr. John Hugo"
584,0,"Paulner, Mr. Uscher"
585,1,"Taussig, Miss. Ruth"
586,0,"Jarvis, Mr. John Denzil"
587,1,"Frolicher-Stehli, Mr. Maxmillian"
